name-unit,out-synapses,leak,integration,fire
[33244:33343],1,96.7325,4024.0037,2.7384
[33344:33443],1,96.7325,4024.0037,1.3179
[33444:33543],1,96.7325,4024.0037,2.0136
[33544:33643],1,96.7325,4024.0037,3.2568
[33644:33743],1,96.7325,4024.0037,2.8488
[33744:33843],1,96.7325,4024.0037,5.5195
[33844:33943],1,96.7325,4024.0037,1.6006
[33944:34043],1,96.7325,4024.0037,1.1223
[34044:34143],1,96.7325,4024.0037,2.0159
[34144:34243],1,96.7325,4024.0037,3.9993
[34244:34343],1,96.7325,4024.0037,3.9667
[34344:34443],1,96.7325,4024.0037,3.4493
[34444:34543],1,96.7325,4024.0037,2.8312
[34544:34643],1,96.7325,4024.0037,3.747
[34644:34743],1,96.7325,4024.0037,2.9718
[34744:34843],1,96.7325,4024.0037,4.342
[34844:34943],1,96.7325,4024.0037,1.5559
[34944:35043],1,96.7325,4024.0037,3.5208
[35044:35143],1,96.7325,4024.0037,3.9661
[35144:35243],1,96.7325,4024.0037,7.3893
[35244:35343],1,96.7325,4024.0037,3.8723
[35344:35443],1,96.7325,4024.0037,4.1805
[35444:35543],1,96.7325,4024.0037,2.2171
[35544:35643],1,96.7325,4024.0037,2.6594
[35644:35743],1,96.7325,4024.0037,2.2404
[35744:35843],1,96.7325,4024.0037,5.8245
[35844:35943],1,96.7325,4024.0037,6.2957
[35944:36043],1,96.7325,4024.0037,4.3347
[36044:36143],1,96.7325,4024.0037,2.175
[36144:36243],1,96.7325,4024.0037,2.9242
[36244:36343],1,96.7325,4024.0037,3.5615
[36344:36443],1,96.7325,4024.0037,2.3786
[36444:36543],1,96.7325,4024.0037,4.0633
[36544:36643],1,96.7325,4024.0037,3.661
[36644:36743],1,96.7325,4024.0037,3.9365
[36744:36843],1,96.7325,4024.0037,3.8534
[36844:36943],1,96.7325,4024.0037,2.1095
[36944:36968],120,3.7689,5.3448,3.7689
[36969:36993],120,3.7525,4.8728,3.7525
[36994:37018],120,1.0904,1.4858,1.0904
[37019:37043],120,2.58,3.4923,2.58
[37044:37068],120,2.5509,3.3998,2.5509
[37069:37093],120,2.3403,3.2086,2.3403
[37094:37118],120,4.3887,6.6714,4.3887
[37119:37143],120,0.9361,1.036,0.9361
[37144:37168],120,2.6094,3.5384,2.6094
[37169:37193],120,0.2693,0.2785,0.2693
[37194:37218],120,1.6743,2.0759,1.6743
[37219:37243],120,2.1332,2.7384,2.1332
[37244:37268],120,0.9862,1.3179,0.9862
[37269:37293],120,1.4618,2.0136,1.4618
[37294:37318],120,2.3541,3.2568,2.3541
[37319:37343],120,2.1618,2.8488,2.1618
[37344:37368],120,3.6831,5.5195,3.6831
[37369:37393],120,1.4062,1.6006,1.4062
[37394:37418],120,0.8813,1.1223,0.8813
[37419:37443],120,1.7093,2.0159,1.7093
[37444:37468],120,2.5832,3.9993,2.5832
[37469:37493],120,2.6988,3.9667,2.6988
[37494:37518],120,2.4478,3.4493,2.4478
[37519:37543],120,2.0042,2.8312,2.0042
[37544:37568],120,2.4194,3.747,2.4194
[37569:37593],120,2.0224,2.9718,2.0224
[37594:37618],120,2.676,4.342,2.676
[37619:37643],120,1.311,1.5559,1.311
[37644:37668],120,2.4556,3.5208,2.4556
[37669:37693],120,2.9903,3.9661,2.9903
[37694:37718],120,4.5246,7.3893,4.5246
[37719:37743],120,2.8909,3.8723,2.8909
[37744:37768],120,3.0648,4.1805,3.0648
[37769:37793],120,1.7512,2.2171,1.7512
[37794:37818],120,2.1974,2.6594,2.1974
[37819:37843],120,1.7123,2.2404,1.7123
[37844:37868],120,3.8827,5.8245,3.8827
[37869:37893],120,3.786,6.2957,3.786
[37894:37918],120,2.7701,4.3347,2.7701
[37919:37943],120,1.6541,2.175,1.6541
[37944:37968],120,2.2735,2.9242,2.2735
[37969:37993],120,2.7272,3.5615,2.7272
[37994:38018],120,1.8107,2.3786,1.8107
[38019:38043],120,3.0272,4.0633,3.0272
[38044:38068],120,2.4393,3.661,2.4393
[38069:38093],120,3.1042,3.9365,3.1042
[38094:38118],120,2.8208,3.8534,2.8208
[38119:38143],120,1.664,2.1095,1.664
[38144:38263],84,119.988,13733.7,27.2724
[38264:38347],100,83.9832,2290.8816,21.708
[38348:38447],0,99.97,2170.8,7.3774
